	Control1	Control2	Control3	Treatment1	Treatment2	Treatment3
244944_s_at	2190.09662407886	2144.51549078675	1382.65889135654	2207.82144524175	1830.75380880843	1568.29784686435
244945_at	157.299361346542	204.151039884880	24.2384884205910	552.282303518016	93.5240264369965	129.357763219197
244946_at	126.000197044626	123.570502029761	55.4472429683053	222.412243139654	141.360921026611	10.4797858944202
244947_at	89.155169679743	152.193130643041	221.844477951707	143.036211098986	87.2459073167469	8.69917389239626
244948_at	12.8473930430419	232.575622514772	198.98783340271	205.437403127759	4.53341845625836	9.41691770505646
244949_at	54.4535901886021	34.1201033443618	177.365196582230	43.6394242104781	93.3518525889697	117.739562931125
244950_at	232.809899815661	184.886601620851	176.718794387777	458.249367151257	123.156450082809	124.642963677179
244951_s_at	557.81032541692	709.282664075221	128.887328338842	629.165631921281	436.750877018605	215.432501241683
244952_at	77.5493263728478	127.479393191973	200.519704211464	30.5303627043306	51.4988249392182	115.343369880841
244953_s_at	218.966262580452	287.912658118366	85.1407773824125	257.54864410581	156.725577205879	176.885977495103
244954_s_at	35.8652666994148	98.6478039442848	151.200968036688	20.3502548147098	81.4809907674912	81.1302006249645
244955_at	39.1044037706453	36.0223642991151	80.5639409263376	40.3868103371579	12.3275157882467	126.116937289996
244956_s_at	95.0244949201824	40.6273171245567	28.0332475026726	459.475344264206	92.2585108560056	24.0234532459291
244957_at	107.615560224413	91.4173112867042	51.2948292411579	233.249698516018	83.2430590563108	36.3118267021638
244958_at	51.027558037108	16.0861099443211	29.1149232347263	76.7156678296739	38.7103510324851	97.4789146066623
244959_s_at	620.485775551175	507.273871494233	564.202410234638	746.83317465422	465.809512231657	495.340525540696
244960_at	3591.40395091175	4353.74380915099	2791.42978780455	3108.44758842793	3435.66885512774	2799.26845413481
244961_at	3238.59319325656	3236.30231572391	1976.24644567262	3334.59706615807	3066.23422067293	2644.38673532612
244962_at	2387.36542918292	1872.28150394293	1282.50464131478	2160.7535355358	1830.69391353782	2046.06225942878
244963_at	849.068594744148	968.626512201847	1011.12875869473	599.301505173459	847.0218185921	840.389225301158
244964_at	500.36009248476	348.908231669279	490.654022735542	607.652695080866	478.95322545634	427.850435765937
244965_at	357.791107974381	357.205279015899	275.514422168886	496.634975763363	410.688546156087	355.665754753508
244966_at	175.557530023694	18.6831051044036	286.584995255157	209.634409844941	113.171554706681	94.4166972641552
244967_at	4614.57648198956	5888.12723374761	3230.15437582056	4964.73207825456	2733.74775986242	5396.73359564004
244968_at	2483.24600659754	1415.07100568995	1832.49898291525	1334.39224158425	2098.1089781336	2126.28420231464
244969_at	1305.64401866279	1400.75229432269	795.038211436275	1002.39021096853	904.447422465151	749.967640104491
244970_at	472.631732748911	478.816950469096	142.474594097777	529.767462882745	367.559939637070	383.716378971347
244971_at	7971.26895272875	5573.49878794293	4390.08752995757	6064.5185056088	6878.3040129453	6811.98731039617
244972_at	369.070409988834	164.433590066925	25.8252707169086	134.545143669538	268.201419293170	360.047655514291
244973_at	223.759872844578	333.237797511798	212.105575356703	314.3280239303	186.922711791859	77.3971555738036
244974_at	122.970458583028	258.230882392244	164.080267930003	182.522957828269	62.0653451571667	125.105077943661
244975_at	1103.22989473367	1354.31746042636	816.846966464394	1426.57251410776	997.33144669766	1016.16689845716
244976_at	7595.51535171943	6481.3068481198	4407.28284837149	5484.33570890573	6255.20921378456	7209.76564148646
244977_at	101.711537483149	29.4188213921657	282.294257138832	15.3820599577992	62.9022507711469	111.080196564705
244978_at	1777.61501396011	2617.19491841191	1932.23019576474	2156.93677516626	1653.82663124323	2869.00585414717
244979_at	1307.36725110545	943.494136329472	827.255586386187	1202.60349434218	926.513594434794	1131.92394349747
244980_at	937.331608516894	508.483913871936	1041.42476462749	421.356190645205	749.051627874734	616.208643844956
244981_at	1274.33474106156	1226.27629495377	586.719491651714	1210.35609860399	1140.47713274417	1390.86341482291
244982_at	1839.60345699304	1892.9244536047	959.890744976172	2233.58152009910	1548.91077149944	2137.42871265363
244983_at	3159.28091817009	4369.567224161	1404.53287505911	4496.75512173286	2321.31187180072	3055.65829256387
244984_at	4950.31184041539	4975.23594826724	4459.72386043197	4571.6888311439	4253.02723780833	3594.81317386086
244985_at	2629.17493477837	2967.69245185751	2349.52352444074	2661.45088054519	2211.90017523020	2141.87216770775
244986_at	6336.1438371827	5993.09083057297	4605.74357215851	4401.7941716216	4749.96326850333	4794.14430518447
244987_s_at	11969.0189858866	10461.8545564165	9222.18768600763	10389.5341555755	10344.9441732830	11601.7816574365
244988_s_at	4656.03283352494	4409.12340218054	2558.28080867670	3098.67229467538	3466.49149350594	3383.37048931558
244989_s_at	40.5258198950669	370.313131673025	252.449058645533	58.6628904288536	93.4786806858373	14.3247881246831
244990_s_at	34.2107591430688	205.481749723419	165.964761184161	353.509744910176	36.9903010738558	40.1824821833241
244991_s_at	100.916549963172	190.087958995228	122.401929342906	290.001638100762	128.537387163927	173.923562393161
244992_s_at	8947.51033209952	8917.0769574161	3937.37913474703	8424.2827838156	7699.29796608482	7380.09429504745
244993_s_at	2289.87798759901	1615.50924134564	1127.22140336317	2001.96542518871	1708.01385091849	1648.8401246552
244994_at	24.0022303164411	165.696282608387	151.035650509647	440.445117721902	32.3026435115898	5.43841039345785
244995_at	21.3561679874649	21.3372805354234	28.9167592212831	14.3644446193571	50.0831109033497	8.84346858878764
244996_at	1707.11127916374	2242.14540693227	949.560160902285	1310.03189965626	1718.58781569578	1362.26963998255
244997_at	480.807005726153	758.883563864519	231.626867170820	556.864333383399	435.576685829258	476.752840879767
244998_at	1336.59247858016	1246.12442382555	949.155582893429	1784.97167330910	1091.54706677475	1589.34328666564
244999_at	96.4531889043503	322.883325115798	487.779639925532	16.2204476480729	100.343137476956	223.695237489534
245000_at	20.1595533819734	99.8186786214026	31.8382688807779	229.575269158007	87.3809107144217	151.877661193563
245001_at	8404.00840514302	8743.63744044791	4321.11409223143	9245.68209385047	5582.72583219819	10115.2735831337
245002_at	267.729356916691	191.023880074682	362.388360078234	339.240433597768	306.567371412326	243.448799631794
245003_at	769.639246010296	796.531307186988	123.761972335888	623.619835643493	475.407485494372	555.411443952468
245004_at	861.662650661492	1032.38727581132	1415.99957272793	1300.60019567048	805.984721825943	698.986879017461
245005_at	94.153348210987	166.953713897496	32.9873435047953	184.547768205514	53.633682295606	95.4654557586623
245006_at	4335.69369853049	4194.59547965892	2012.42822119315	4612.14355231831	3815.20837892036	5418.78847373047
245007_at	1039.25660575037	917.510670965744	54.5674169589648	1070.21851007529	809.081940014319	973.434558641323
245008_at	332.697956096196	578.964810133087	349.504772406342	535.811698286619	269.652373950967	224.903894771986
245009_at	3339.47073528422	3088.25570957895	1908.6319472356	2396.78791842582	3123.86391141275	2816.54900065097
245010_at	179.332978643766	206.552317015347	223.175740505584	26.2742668142722	191.504117483321	89.5475524158824
245011_at	118.196420760244	335.311487440098	59.378736591807	183.603941935450	112.748222716262	11.9908564001263
245012_at	1328.65305372871	1305.80193111123	856.509071910016	1131.34205310423	1177.75090315883	1505.72062846897
245013_at	7744.74067536964	5515.51408424563	5935.82380499969	6061.53858596811	6708.72609000675	7654.76050783924
245014_at	7683.97645107352	6357.33135489768	4385.4908227936	6356.5294084024	7009.69189409857	7085.78268262884
245015_at	322.112128947959	267.026927933249	478.14788185540	778.019135523646	261.093705492432	456.551863018925
245016_at	1321.82162719083	1300.27843973634	733.002340530256	1400.51204796188	1077.17518167193	1032.52084129252
245017_at	1113.81957790443	1085.74972581607	585.382849675223	1126.12253966209	802.94120055577	901.539740917627
245018_at	1214.53461095559	1063.96646482662	890.172259620626	1238.50648773159	1059.34128263692	1371.96229031919
245019_at	2307.38325711468	2075.45767298604	1274.59986280987	2054.30365234560	1936.07094984127	2671.64869552751
245020_at	2883.43668810458	2294.20328424675	1860.51431629989	2485.49512190634	2173.19816565704	2806.67010237781
245021_at	1139.29765279387	1226.49874053310	839.7555512996	1157.70023192827	1032.79809762416	1016.55843060956
245022_at	401.656254742112	688.049341634897	282.687998065656	208.174948928730	361.346017062032	531.656594112129
245023_at	2854.86231142499	2740.95947319036	2120.56432004411	2632.27587100554	2402.41265344486	2826.22691542740
245024_at	5425.25023106411	4639.37078300546	4038.89689796455	6460.35103970644	4531.45740955387	4643.65657091152
245025_at	1030.18765043801	996.87327660046	524.22360648573	1058.89547553925	1128.14747083974	1153.93987609922
245026_at	551.107808145023	650.299219502053	413.491327729029	588.26965831086	409.10453081318	759.728470805983
245027_at	184.75905085051	266.420660484710	426.508350446277	269.707761412453	208.354875836264	134.225899209984
245028_at	426.912829410011	346.329002439732	455.692242735135	826.098139547887	335.481650466864	867.26911256073
245029_at	28.8053330129641	110.659201587012	45.0314213358386	22.9584601726993	23.2709887704005	13.7106930914147
245030_at	4.23408464901549	194.723224505277	34.8879350151513	93.2235218211863	32.953735660856	10.517958682553
245031_at	268.031232479637	260.196641182307	480.42830481159	424.047971488086	217.780509435171	155.913597500239
245032_at	49.6935196515491	82.0009269353243	26.2388863783809	79.4089565052226	17.3952906046251	10.7498353459306
245033_at	34.0716472708612	178.312023447306	39.7470649766168	116.885255664566	56.4768683640285	30.8956884271742
245034_at	103.183287635157	22.6655244666663	57.1458330191549	309.997450704079	135.087675673537	26.5668527116983
245035_at	2072.78564646813	1829.01338089485	3552.5418640532	2341.52148545328	3875.6477753482	2758.74490798749
245036_at	170.171299895246	378.460568785295	314.017787241757	358.931374042941	163.275188838013	298.978542543154
245037_at	81.6937848057864	135.231168251458	199.579385630978	341.45622829332	92.5038402223518	182.705694691965
245038_at	8436.0287177911	4424.58446412138	2105.51484173284	2231.22959371746	3999.39362286209	2039.50833580129
245039_at	1053.43437261141	1019.70494158170	770.501038073797	873.80163107643	1305.11011868010	896.904909191974
245040_at	37.7206172401094	17.6331914773549	33.7939125431933	48.2952110794648	81.3855264660136	12.2307668238343
245041_at	1065.01633951758	898.48168306377	571.911044063197	675.909323776491	613.236481889229	621.175602521279
245042_at	134.287579594376	11.2728955633163	272.519568317479	161.788856633236	134.286901136847	162.547157171753
245043_at	1194.70474660757	1094.39564825398	701.462152880565	933.228667624397	785.291866276003	1106.84658698213
245044_at	607.196606749104	457.332419571266	515.414258734787	467.634943956304	344.998531826122	502.976832888689
245045_at	1427.49952607246	1580.76362150727	1419.86662132761	1493.21014054410	1443.42468586766	1217.09753450076
245046_at	1893.06394831980	1684.78603962703	1534.68415384236	1290.24956872043	1654.00427902437	1701.35860299933
245047_at	434.302937067694	784.807912457088	731.119745843451	477.048648668841	299.390652314348	739.122138260243
245048_at	7579.55942557904	8207.52662459881	4010.27472044875	7494.31378625491	6937.8444763121	7432.7795751691
245049_at	203.283365237911	90.5010605374871	53.0022601582861	318.396988708194	196.019997093664	99.2462842146558
245050_at	2577.95998576248	2061.96613015681	1282.19475106491	1998.00461563652	2189.66564587919	2118.41912703698
245051_at	1346.61270518050	932.566399045368	849.411048053982	1793.82582453220	1465.37151693891	1270.83735490143
245052_at	243.461729589248	418.998561232058	275.404529604513	311.094784045760	269.943431045713	182.062222145456
245053_at	83.4140905368856	90.3553687917687	286.723056431216	271.41823539551	87.5814206096208	34.7738693796804
245054_at	401.014778117356	196.185986146717	163.992440875017	230.639350977000	395.166149564524	377.597374693073
245055_at	239.00408795698	250.176169229886	383.075906427335	234.857783996537	189.798258399846	179.363215488536
245056_at	479.994316647153	604.377572228995	348.901545795297	365.551540211357	493.697625869541	587.456178642142
245057_at	12.4160398025622	104.608689754734	107.331371675637	25.5904267336062	103.604506779142	77.4597429432902
245058_at	5.58691655020294	83.958027667331	17.6729881304096	31.9320364456663	4.21903225853439	94.4705967040786
245059_at	529.032002113785	561.867907264825	516.499285678855	402.439764437384	523.249994111068	723.320717205387
245060_at	1504.1849213284	1539.26630504792	1552.20920562397	1418.18969163881	1390.84775301712	1340.12034732897
245061_at	711.606065184552	756.988356808607	689.628248371383	714.654542702786	606.474664081806	693.273132979035
245062_at	750.737738942281	546.470459631892	787.499116692515	782.98046509836	813.72557420073	698.755169959443
245063_at	385.806705665971	283.555639974831	727.60803379689	731.287957241367	682.214460428029	243.791053645282
245064_at	244.771190726466	232.799434466914	332.905503079988	571.116857631496	164.332231317509	393.655870881331
245065_at	666.634766397155	683.80689016826	737.050816838605	186.896695094194	692.242650298682	599.455437908717
245066_at	564.440919217363	709.566106076619	505.363100784657	560.675400362286	573.42776473782	599.704053310748
245067_at	2793.787697973	2702.04773775272	2681.49579440570	2424.93379273939	2358.96281374817	2772.14700503867
245068_at	85.0393668526916	36.6838409664172	83.1642768725774	44.9003437212701	19.3390169657320	6.6479549160176
245069_at	20.2767250733079	124.095613677309	51.663252404632	221.596238063062	3.44613197166284	24.7736197080043
245070_at	6.41980481094204	29.2245969726559	16.0511418195313	27.5283681036751	8.24635888794423	15.8852509158325
245071_at	35.4447345227276	46.5896329453455	234.264347413538	21.4497500556813	26.7003869710184	11.7296599065553
245072_s_at	18.9013770509462	16.9080874073158	23.2153601753649	324.286409213077	36.7937768806466	115.707658176479
245073_at	7.39140782627266	33.5578915023904	50.6733810415668	157.369984262942	6.84621746840012	119.349075100915
245074_at	223.183679652926	312.526931982243	217.649017418865	322.613021987327	159.529846560281	131.660098513254
245075_at	13.2953227722801	98.9742553264676	42.1289224118761	17.5604586743735	24.9503768245114	12.1761288814808
245076_at	206.95316229297	54.0197718467192	177.368444141173	270.777002465638	420.383223983508	194.604318640204
245077_at	57.0709579624577	377.721643111231	223.141787018214	62.4025398838168	23.0749905992528	216.998341380293
245078_at	660.75933402419	768.507476457055	417.200538831250	706.858973637765	643.516695210516	607.069093674586
245079_at	120.628975542201	13.9881072759471	31.6078801443431	49.2991453878369	118.816016713831	163.462836071681
245080_at	326.098950125167	247.051970562865	68.4714705277898	302.436180024982	240.085781480511	170.272413794966
245081_at	111.950709240290	19.5837627964043	113.539766605547	133.365188712798	55.8793152910285	11.5260225768010
245082_at	346.811858300294	266.831374448087	237.876962192585	280.332921364997	20.2218979009379	38.0221778035338
245083_at	834.758721224725	975.640867847763	792.292010886364	1069.25639767369	952.200520765084	1134.15499993040
245084_at	318.930785631226	390.750338678681	770.290136962893	402.469800052565	213.508329245399	235.443407708445
245085_at	1381.89277091857	1373.73867698224	1574.38033320118	918.640221230617	1913.25481059568	1417.74949931018
245086_at	10.2803215657750	42.2537540907828	171.104644951201	13.7594136579340	5.09862474869402	142.642642373939
245087_at	188.391967341982	330.617635722096	525.48256291803	217.650616604307	201.295372274313	224.785308122511
245088_at	32.4259655448263	17.2355906504798	28.8337959180578	48.8329803930039	8.45970115469059	26.6837900124465
245089_at	404.796315761678	478.77024684787	634.904222839335	142.487363294771	422.814887152841	182.745193330908
245090_at	1384.77230102520	1170.21360588782	1194.67906743048	1391.61192911392	1676.31586484684	1703.55321032675
245091_at	9.78873322144173	14.6751906119742	14.2644650204013	38.6114170382272	43.423888220544	136.255644767163
245092_at	366.807943260598	363.005654212252	414.254175171717	277.936105012325	202.168504034948	509.200350033835
245093_at	232.165800124145	230.157557236033	38.2394219592795	215.040101262566	180.533928043317	251.000576141435
245094_at	810.898557730594	1020.84716516729	866.275889429959	1138.77446413748	751.563600077177	784.306417422334
245095_at	154.662792009493	190.481636823398	31.2953777755292	12.3145146593341	148.817090970666	183.475292391762
245096_at	679.378055031372	462.251935689586	249.563454670744	654.265245399769	629.126941731375	357.077453081895
245097_at	497.396456049422	295.324191686065	578.847648377355	630.830721081996	478.140870399266	554.644046752131
245098_at	1760.11695360258	2064.94010250131	1973.91568320174	1736.90382500522	1274.18143954944	2151.75428334753
245099_at	680.286102443911	1123.16411081247	1051.39703031638	1014.75859808672	732.319029849359	926.496358635934
245100_at	693.07192276376	662.20576751273	418.108438219825	448.524650937141	588.108029356347	534.155192625409
245101_at	1927.89466897263	1772.71270141345	2613.62952244117	1343.83697885619	1678.93889129123	1263.42310549993
245102_at	4.63023081215149	83.4834615521636	143.201241635351	203.836473436109	17.2600131099374	11.7018522442282
245103_at	8.71951283146245	8.1647648447834	128.042491984018	16.865261935133	11.8443431959244	15.5392563569806
245104_at	473.52917015809	612.294825592956	411.631864716551	216.558959629961	576.227802126828	620.135211064275
245105_at	72.5269551242163	185.983378863523	48.3675281385897	232.748239141410	65.9408936492303	52.9844409041456
245106_at	696.511678640162	500.221184176676	869.181548149838	561.45085380236	904.534342342889	654.292177922255
245107_at	134.626265703550	129.018405545235	61.7187540123657	142.477924955813	118.069471824138	8.33926970043887
245108_at	11.3027170885085	18.82034941096	72.0443711980062	11.6425310530343	8.0245602951911	60.9261372964644
245109_at	144.216469255198	222.787827656228	307.947741728045	242.538833161266	218.144559794512	146.869594962446
245110_at	193.340960135204	241.587769390000	388.363436940734	32.9682435774455	121.225645679046	147.4746117232
245111_at	34.5835390248664	157.567865503056	129.858684081186	188.902250168055	8.36590157712284	148.365034209305
245112_at	1292.71897968781	1267.44857405969	1222.38725005092	759.566944808777	1069.84947726781	882.945803575342
245113_at	249.285063458053	268.086477868343	49.7052460238428	159.754951942799	338.513174320092	363.308547265873
245114_at	1111.53309451471	947.317300821056	808.045396167285	1027.71706168207	943.475353777809	1096.71435898101
245115_at	2334.17794117979	1831.58830431201	2099.95504478958	1709.37545102024	2313.45799715661	2198.45172678982
245116_at	1206.76694205310	1149.33209083869	910.008816212616	1035.28446016305	913.706535231492	961.219044012016
245117_at	327.599331461509	371.922356407593	458.382140046466	1020.86636131529	679.811423734175	765.215753009795
245118_at	457.790327707666	368.939050163196	747.616273501407	913.919041998944	612.5989585433	593.03133378036
245119_at	441.483420363166	413.385111036163	56.1008176519334	557.022373359013	309.286783151337	487.410157117173
245120_at	341.824668243477	245.090436147312	793.112486333518	543.103032402253	419.59936153001	451.555184889694
245121_at	8327.27429626316	8109.87405025872	8808.77717486813	6831.22287211113	8989.66391883178	7685.21395670642
245122_at	956.842576263224	470.666190205439	837.102903380825	789.047718085477	930.448486818502	786.214265801904
245123_at	237.736512702831	209.488137023063	219.390099650497	304.811012279783	133.899572966939	337.655113422351
245124_at	613.647789159322	482.741352182588	1061.59839341587	435.793271222297	691.27122662454	680.68710103821
245125_at	14.5422935891422	74.1883260133043	18.1058709055391	17.0639376984689	23.0485789166948	13.0809941013671
245126_at	488.355546958653	518.900770316516	521.428366255483	280.317316499649	396.522856310504	401.078735494324
245127_at	640.134482946669	620.378240165041	503.684337477257	508.358303036417	595.786872007334	503.021298103754
245128_at	18.4662960818846	147.961581730438	17.5946269101381	16.4368151459567	21.8221838674617	89.7530919307385
245129_at	15.4457757104653	243.330619685777	44.6634691178578	122.279124238467	4.62495162204457	65.9826614597038
245130_at	247.177833493386	271.054898157457	176.563520667581	14.8934519269761	229.095724230581	414.131247456052
245131_s_at	1609.43060522109	1247.51134264432	1120.73002096261	925.847662420308	1084.29702069415	1204.70329176575
245132_at	358.946427292329	483.476901751268	500.750019487106	279.344037881667	379.363720566156	450.321999475082
245133_at	91.055958366597	218.186764878928	307.978741956369	113.905535958122	122.060863254159	257.466982986986
245134_s_at	484.768183173905	366.147654544124	158.539439624175	454.749320090424	508.770443589091	392.463252860678
245135_at	7.53724590450474	13.8928073665432	265.992145989883	206.267908932559	3.55156259795453	51.0624854528077
245136_at	1730.57313008532	1630.97340852209	1465.51717794258	1917.51101561949	1668.37111822307	2061.17870188448
245137_at	225.377722691373	123.521371534422	539.35879691938	406.335203365053	187.742650103899	288.933598170193
245138_at	5.48937449840473	35.2948855503722	18.4177238380838	14.5459051752819	6.09599857729633	7.45988177424522
245139_at	906.547265466686	1142.64327695728	884.617908968198	1384.58406046969	1278.58252753527	1477.55245090949
245140_at	57.6877417461367	81.0647654155548	231.951838982109	110.523123024722	86.322223397073	199.610876539976
245141_at	370.556223669420	689.005719686679	607.302409603842	440.152572228761	377.588259490804	511.256484738377
245142_at	157.000014116774	50.9241822782605	222.970474863781	309.397509621772	120.289739751507	63.5356135106015
245143_at	168.56070931761	331.917899250642	68.4806527106234	184.704136917395	141.270728111442	275.885762916276
245144_at	1099.53655435373	802.814561540252	801.343107363162	653.827601108306	909.990430551712	1056.18150140732
245145_at	806.7996213201	703.477748761207	540.705115425543	681.427217615833	729.279796523506	612.010346353145
245146_at	752.954973828393	893.206365264876	725.541630579002	679.741414230682	716.775739356859	633.603308307105
245147_at	132.763422462199	278.107222447555	379.218031163541	37.2280707486833	144.786457437809	251.553253308985
245148_at	1176.52616491349	1098.41996937929	869.143556847716	1496.21370373022	1714.56944925463	1365.84431867730
245149_at	242.342816522371	265.473020121124	160.301808041357	236.624644860916	273.375980641525	406.102692899925
245150_at	296.344975424969	477.122687009078	23.8975737535515	46.8314291673275	262.807097688157	236.973836782412
245151_at	945.855223004552	968.234247861744	812.239530524704	700.651123579117	1274.04336552951	729.607444957158
245152_at	692.041415670613	926.035421480133	557.626601857636	1231.03221766666	818.695460262078	547.297365367635
245153_at	13.4721874297681	21.5439741786006	140.631286417437	226.846077727290	19.7178680366266	6.49211276644827
245154_at	102.952383126367	74.0679880169521	334.038343339114	67.5471561274417	24.7357351961409	15.8846827108534
245155_at	3210.82932022351	2482.14124900572	2822.37162865228	3096.11359221125	4072.42356485133	3850.54261913705
245156_at	622.660265729437	521.440029389408	365.292185159492	863.46079970938	574.963631242444	609.218100449976
245157_at	2.69041501048748	40.5734449106756	40.3214719940427	294.955846642568	4.54889609871032	170.096919798699
245158_at	108.252437505565	135.603461749584	438.759454877291	29.4933870300411	108.997046984737	193.917642464849
245159_at	45.7468146018975	101.041876635118	201.761265907533	11.995277729424	38.6163501908806	126.136577682770
245160_at	16.1538279409076	42.7768040124391	213.940200973682	23.2346982229043	42.5863365426132	68.4105646556116
245161_at	119.9645185465	287.543512418402	225.361376273822	333.653507693092	152.799120818119	242.856839107077
245162_at	96.0244763329883	112.225033396973	227.174091376802	128.321498024498	39.9054321253757	10.1443417187170
245163_at	17.6478641822796	38.9351044546701	33.9126339492231	142.627839992945	55.4060517585471	186.989456895452
